,Open,High,Low,Close,Adj Close,Volume,SMA_50,TSI_13_25_13,TSIs_13_25_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,PVI_1,NVI_1,ATRr_14,ADX_14,DMP_14,DMN_14,INC_1,DEC_1,VWMA_10,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,OBV,AD,AO_5_34,Unnamed: 0,score,log_ret
Open,1.0,0.9972937725474904,0.9970371165408202,0.9931456168696859,0.8456563832054079,0.25057483857691865,0.9022376594301897,-0.20015389226399288,-0.38781458946438147,0.7559534840371016,0.8414255406909636,0.85936021592485,0.33073419614409844,-0.013275161348406004,0.3848666652332202,0.12340429722213159,0.8403966440509392,0.014120171510025451,-0.3780239064875683,-0.4651365402605808,-0.0022837214759544857,0.009717423076935102,0.8194485246860952,-0.3276929831606264,0.2202590153075438,-0.4564395830424948,-0.05329873689900357,0.7610527604849922,0.8644992759500885,-0.1509868551624301,-0.8139145637347727,-0.10132987648043938,-0.01382347709412549
High,0.9972937725474904,1.0,0.9969109138837389,0.9972953975510918,0.8419014963237369,0.27351879152929776,0.9076874360267131,-0.21205720413888568,-0.40133683482920735,0.7445329485050212,0.8335432504352294,0.8549137566409166,0.3428921802524187,0.0030610272155122387,0.37399156990216875,0.1290526549173647,0.8503196461422449,0.017356529150148806,-0.38531231542664435,-0.47325369260736433,0.020287350673686807,-0.013080877710970551,0.8117462623412914,-0.34060711916529957,0.22048657765998317,-0.47081877798756633,-0.05337888673182783,0.7741680687623803,0.8735102818839585,-0.1637168375311164,-0.8250793129630313,-0.10219608396139465,0.012772664387974857
Low,0.9970371165408202,0.9969109138837389,1.0,0.9973543972391558,0.856376399824537,0.23194548031023585,0.8941631427983278,-0.18281183424666977,-0.3796465577660729,0.7610202235302213,0.842910039157062,0.8577757605105957,0.3199166714582924,0.010327772814225398,0.3892478480097484,0.13770834101993426,0.8335028219885305,0.009895158187433684,-0.369348577556616,-0.46685393736379666,0.019609807528960348,-0.012262032985087913,0.8165290150162122,-0.3102750188933032,0.24616674966377056,-0.4482375831413897,-0.026015928870548464,0.7616729041972675,0.8587614518793046,-0.1325573092117934,-0.8081942832839324,-0.092740552174637,0.01634329232230762
Close,0.9931456168696859,0.9972953975510918,0.9973543972391558,1.0,0.8521590448618362,0.2575787305825829,0.8976857598874988,-0.1942200639756948,-0.39260674737697343,0.7492663549762159,0.8343862424681543,0.8524722821308588,0.3308200094414673,0.028314975108662672,0.3791747859932312,0.1425896446915874,0.84125879151449,0.014955746100762682,-0.37620295878218146,-0.4727291807265942,0.043372101296102264,-0.03633425623424879,0.8076256522149835,-0.32154841972040016,0.2467236559326608,-0.46094285981934824,-0.02559472977205615,0.7727957060250006,0.8657557490906362,-0.14439051129160094,-0.8171906086939507,-0.09535622643853299,0.04509627795773848
Adj Close,0.8456563832054079,0.8419014963237369,0.856376399824537,0.8521590448618362,1.0,0.047877007236590295,0.684552718219077,0.0846855938980685,-0.11566799591865173,0.9197740319874756,0.9502370991866357,0.9156210384719946,0.14520572868912446,0.09957363086881871,0.7052153468394918,0.04712736657857079,0.4552326762468677,-0.05832637270512576,0.036177911983109365,-0.1327782212102531,0.07979761860086443,-0.07403341600804221,0.8868198931916603,-0.0663871379456642,0.33604148745861423,-0.21688706093824378,0.21395763389071049,0.43978026782777757,0.5555810180274741,0.03161747389584541,-0.43516786194430995,-0.061575819426234454,0.09445098223946127
Volume,0.25057483857691865,0.27351879152929776,0.23194548031023585,0.2575787305825829,0.047877007236590295,1.0,0.37256371208971784,-0.3192898863271461,-0.27788842437808126,-0.02819987310179202,0.1087307156342117,0.2156067656550454,0.46794962318305505,-0.0569113632773472,-0.17070266253145253,0.08174233482578931,0.4270493497057673,0.023366254641477353,-0.2758283018551,-0.1933940982617418,-0.06403249021485713,0.07177922713219217,0.16610842706447543,-0.36210629517715914,-0.233079790959343,-0.3009516881966288,-0.28700465056831187,0.3695998788709449,0.3860809831877269,-0.3562548258522583,-0.408562147525861,-0.10432356853347598,-0.11232337264645231
SMA_50,0.9022376594301897,0.9076874360267131,0.8941631427983278,0.8976857598874988,0.684552718219077,0.37256371208971784,1.0,-0.5275119869666143,-0.6193995390927997,0.6052874920629328,0.7297315574408515,0.7870786844585925,0.45361535244653084,-0.0941636604553661,0.3095670550035534,-0.05594516794591728,0.8898662947630852,0.1573831182275877,-0.47352691670821684,-0.38353113805741534,-0.010412925850360877,0.017981835256639746,0.7615671330389379,-0.660760558119158,-0.042700642735906805,-0.7125199095368813,-0.3756406524684267,0.7473286918313811,0.9399179310286846,-0.5174733002061003,-0.8787052631785097,-0.1665738264691553,-0.07266733059769512
TSI_13_25_13,-0.20015389226399288,-0.21205720413888568,-0.18281183424666977,-0.1942200639756948,0.0846855938980685,-0.3192898863271461,-0.5275119869666143,1.0,0.863906064853373,0.14900642941100029,0.04832453184884771,-0.03834725996568187,-0.33379230941720733,0.0283671050271446,0.0952058717986795,0.32621551112110864,-0.47401808879821944,-0.2916117528220224,0.4430027850633018,0.0652979785275202,-0.04501637025556751,0.04586441819004169,-0.05085434229442576,0.9348202999969708,0.408411361251482,0.8594740523128193,0.7771111109225477,-0.33835407271142465,-0.5276842203550884,0.8763407848340243,0.48695558453102533,0.08795717949623136,-0.002200174908542326
TSIs_13_25_13,-0.38781458946438147,-0.40133683482920735,-0.3796465577660729,-0.39260674737697343,-0.11566799591865173,-0.27788842437808126,-0.6193995390927997,0.863906064853373,1.0,0.013095552823608182,-0.08495048078340156,-0.161029179618898,-0.33318421634872225,-0.1418874210501572,0.036835931791689716,0.1807723235550526,-0.5939356239169576,-0.2827370477686222,0.4796049215030215,0.2682726515056007,-0.07673812690987487,0.07793005133255416,-0.09032673706548885,0.8224770207464338,-0.05742075012611503,0.9341112348092179,0.4473694961770838,-0.4921380008500599,-0.6433141139165065,0.7161741126087823,0.6098844498688923,0.09858512807089292,-0.08228986740923142
BBL_5_2.0,0.7559534840371016,0.7445329485050212,0.7610202235302213,0.7492663549762159,0.9197740319874756,-0.02819987310179202,0.6052874920629328,0.14900642941100029,0.013095552823608182,1.0,0.9584027437456232,0.8634197338618355,-0.10414985100520946,-0.1677721487547605,0.7036393238654681,-0.01971057606983412,0.36133306164775403,-0.15292366633405338,0.05757709675022451,-0.05057583136609944,-0.06591596666187959,0.06848869219374804,0.9082944567007546,0.025777320819246566,0.2498974190994505,-0.07818231326507512,0.09274630461950012,0.3390936232441242,0.4669461744611503,0.13101712201007695,-0.33721106311364574,-0.07385977638895004,-0.12132840866913018
