,Volume_x,SMA_50_x,TSI_13_25_13_x,TSIs_13_25_13_x,BBL_5_2.0_x,BBM_5_2.0_x,BBU_5_2.0_x,BBB_5_2.0_x,BBP_5_2.0_x,PVI_1_x,NVI_1_x,ATRr_14_x,ADX_14_x,DMP_14_x,DMN_14_x,INC_1_x,DEC_1_x,VWMA_10_x,MACD_12_26_9_x,MACDh_12_26_9_x,MACDs_12_26_9_x,RSI_14_x,OBV_x,AD_x,AO_5_34_x,roe_x,roa_x,debt_x,debt/asset_x,ev/ebitda_x,p/e_x,Unnamed: 0_x,score_x,log_ret_x
VWMA_10_y,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0454,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.033,0.033,0.033,0.0,0.0,0.0398,0.0003,0.0
MACD_12_26_9_y,0.1162,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0,0.0055,0.0009,0.0,0.5913,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0993,0.0993,0.0993,0.0993,0.0001,0.0001,0.0188,0.0072,0.0
MACDh_12_26_9_y,0.0009,0.0002,0.0001,0.0001,0.0001,0.0,0.0,0.01,0.0,0.0,0.0235,0.0003,0.0049,0.0607,0.1364,0.0,0.0,0.0,0.0,1.0,0.0,0.0014,0.0,0.002,0.0,0.0053,0.0053,0.0053,0.0053,0.0022,0.0024,0.0138,0.0738,0.0
MACDs_12_26_9_y,0.0,0.0,0.0,0.0007,0.0,0.0,0.0001,0.0031,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0618,0.0,0.0948,0.0948,0.0948,0.0948,0.0,0.0,0.0204,0.0022,0.0
RSI_14_y,0.1162,0.0637,0.0008,0.0011,0.01,0.0311,0.0146,0.0211,0.0012,0.0004,0.3102,0.026,0.8282,0.1677,0.2595,0.0001,0.0001,0.1313,0.0885,0.0099,0.0144,1.0,0.0032,0.0065,0.1417,0.0531,0.0531,0.0531,0.0531,0.0838,0.0857,0.0876,0.0166,0.0941
OBV_y,0.0547,0.044,0.0284,0.1049,0.0087,0.0316,0.0001,0.0056,0.0181,0.0842,0.0086,0.0019,0.018,0.0468,0.0608,0.1128,0.1128,0.0312,0.0437,0.1497,0.0692,0.0395,1.0,0.0089,0.0414,0.1407,0.1407,0.1407,0.1407,0.1141,0.1042,0.0045,0.0005,0.4384
AD_y,0.0321,0.034,0.0006,0.0,0.0017,0.0292,0.0001,0.0014,0.0051,0.0201,0.025,0.0131,0.0053,0.0001,0.0119,0.0009,0.0009,0.0019,0.0048,0.0001,0.0001,0.0004,0.003,1.0,0.0028,0.2855,0.2855,0.2855,0.2855,0.1895,0.1781,0.0751,0.0,0.0442
AO_5_34_y,0.0142,0.0,0.0,0.0,0.0,0.0,0.0,0.4352,0.0,0.0,0.0006,0.0,0.0142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0,0.1243,0.1243,0.1243,0.1243,0.0,0.0,0.0024,0.007,0.0
roe_y,0.4838,0.6904,0.8349,0.8935,0.4591,0.4875,0.0819,0.0223,0.0088,0.0928,0.539,0.4338,0.7521,0.5106,0.7143,0.106,0.106,0.4616,0.5823,0.5461,0.7921,0.6579,0.271,0.2747,0.186,1.0,1.0,1.0,1.0,0.5166,0.5039,0.611,0.0757,0.2625
roa_y,0.4838,0.6904,0.8349,0.8935,0.4591,0.4875,0.0819,0.0223,0.0088,0.0928,0.539,0.4338,0.7521,0.5106,0.7143,0.106,0.106,0.4616,0.5823,0.5461,0.7921,0.6579,0.271,0.2747,0.186,1.0,1.0,1.0,1.0,0.5166,0.5039,0.611,0.0757,0.2625
debt_y,0.4838,0.6904,0.8349,0.8935,0.4591,0.4875,0.0819,0.0223,0.0088,0.0928,0.539,0.4338,0.7521,0.5106,0.7143,0.106,0.106,0.4616,0.5823,0.5461,0.7921,0.6579,0.271,0.2747,0.186,1.0,1.0,1.0,1.0,0.5166,0.5039,0.611,0.0757,0.2625
debt/asset_y,0.4838,0.6904,0.8349,0.8935,0.4591,0.4875,0.0819,0.0223,0.0088,0.0928,0.539,0.4338,0.7521,0.5106,0.7143,0.106,0.106,0.4616,0.5823,0.5461,0.7921,0.6579,0.271,0.2747,0.186,1.0,1.0,1.0,1.0,0.5166,0.5039,0.611,0.0757,0.2625
ev/ebitda_y,0.1501,0.0711,0.013,0.0195,0.0011,0.0758,0.0002,0.0016,0.0348,0.0454,0.0172,0.0118,0.0191,0.0668,0.0557,0.0003,0.0003,0.0741,0.0446,0.0297,0.0205,0.1052,0.0013,0.0295,0.0368,0.12,0.12,0.12,0.12,1.0,0.1518,0.0033,0.0007,0.4508
p/e_y,0.1574,0.072,0.0257,0.0362,0.0023,0.0788,0.0002,0.0017,0.0428,0.0421,0.0173,0.0114,0.0183,0.0709,0.0521,0.0005,0.0005,0.0762,0.0468,0.026,0.0196,0.1068,0.0026,0.0275,0.0373,0.125,0.125,0.125,0.125,0.1577,1.0,0.0032,0.0008,0.4436
Unnamed: 0_y,0.0047,0.0004,0.013,0.0106,0.4057,0.0361,0.0321,0.0312,0.0022,0.0061,0.0175,0.1238,0.0001,0.0,0.0003,0.0226,0.0226,0.0203,0.0033,0.0073,0.002,0.0116,0.1119,0.0055,0.0024,0.0103,0.0103,0.0103,0.0103,0.0217,0.0207,1.0,0.5421,0.0723
score_y,0.0322,0.1741,0.0334,0.0788,0.0485,0.0405,0.0376,0.133,0.455,0.1891,0.005,0.0802,0.0282,0.0335,0.0541,0.379,0.379,0.0512,0.0492,0.1324,0.0655,0.0213,0.0471,0.006,0.0505,0.0639,0.0639,0.0639,0.0639,0.0341,0.032,0.0013,1.0,0.1241
log_ret_y,0.1099,0.07,0.0199,0.0191,0.0037,0.25,0.0016,0.0039,0.0037,0.0367,0.4448,0.0229,0.5579,0.3984,0.4681,0.0006,0.0006,0.233,0.3375,0.2525,0.1713,0.0789,0.0014,0.0333,0.0819,0.0537,0.0537,0.0537,0.0537,0.3478,0.2938,0.0973,0.0081,1.0
